FileName,ClassName,Category,Type,HasExampleMethod,FilePath
DataWindowMetadata.cs,DataWindowMetadata,Root,Response,FALSE,src/services/src/Demoulas.ProfitSharing.Common/Contracts/Response/DataWindowMetadata.cs
DemographicBadgesNotInPayProfitResponse.cs,DemographicBadgesNotInPayProfitResponse,Headers,Response,FALSE,src/services/src/Demoulas.ProfitSharing.Common/Contracts/Response/Headers/DemographicBadgesNotInPayProfitResponse.cs
DemographicHeaders.cs,DemographicHeaders,Headers,Response,FALSE,src/services/src/Demoulas.ProfitSharing.Common/Contracts/Response/Headers/DemographicHeaders.cs
DemographicResponseDto.cs,DemographicResponseDto,Root,Response,TRUE,src/services/src/Demoulas.ProfitSharing.Common/Contracts/Response/DemographicResponseDto.cs
DemographicSyncAuditDto.cs,DemographicSyncAuditDto,ItOperations,Response,TRUE,src/services/src/Demoulas.ProfitSharing.Common/Contracts/Response/ItOperations/DemographicSyncAuditDto.cs
DemographicSyncAuditRecordResponse.cs,DemographicSyncAuditRecordResponse,ItOperations,Response,TRUE,src/services/src/Demoulas.ProfitSharing.Common/Contracts/Response/ItOperations/DemographicSyncAuditRecordResponse.cs
DepartmentResponseDto.cs,DepartmentResponseDto,Root,Response,TRUE,src/services/src/Demoulas.ProfitSharing.Common/Contracts/Response/DepartmentResponseDto.cs
DisbursementReportDetailResponse.cs,DisbursementReportDetailResponse,Distributions,Response,FALSE,src/services/src/Demoulas.ProfitSharing.Common/Contracts/Response/Distributions/DisbursementReportDetailResponse.cs
DistributionFrequencyResponse.cs,DistributionFrequencyResponse,Lookup,Response,TRUE,src/services/src/Demoulas.ProfitSharing.Common/Contracts/Response/Lookup/DistributionFrequencyResponse.cs
DistributionRunReportDetail.cs,DistributionRunReportDetail,Distributions,Response,FALSE,src/services/src/Demoulas.ProfitSharing.Common/Contracts/Response/Distributions/DistributionRunReportDetail.cs
DistributionRunReportSummaryResponse.cs,DistributionRunReportSummaryResponse,Distributions,Response,FALSE,src/services/src/Demoulas.ProfitSharing.Common/Contracts/Response/Distributions/DistributionRunReportSummaryResponse.cs
DistributionsAndForfeitureResponse.cs,DistributionsAndForfeitureResponse,YearEnd,Response,TRUE,src/services/src/Demoulas.ProfitSharing.Common/Contracts/Response/YearEnd/DistributionsAndForfeitureResponse.cs
DistributionsAndForfeitureTotalsResponse.cs,DistributionsAndForfeitureTotalsResponse,YearEnd,Response,TRUE,src/services/src/Demoulas.ProfitSharing.Common/Contracts/Response/YearEnd/DistributionsAndForfeitureTotalsResponse.cs
DistributionsByAge.cs,DistributionsByAge,YearEnd,Response,TRUE,src/services/src/Demoulas.ProfitSharing.Common/Contracts/Response/YearEnd/Frozen/DistributionsByAge.cs
DistributionsByAgeDetail.cs,DistributionsByAgeDetail,YearEnd,Response,TRUE,src/services/src/Demoulas.ProfitSharing.Common/Contracts/Response/YearEnd/Frozen/DistributionsByAgeDetail.cs
DistributionSearchResponse.cs,DistributionSearchResponse,Distributions,Response,FALSE,src/services/src/Demoulas.ProfitSharing.Common/Contracts/Response/Distributions/DistributionSearchResponse.cs
DistributionsOnHoldResponse.cs,DistributionsOnHoldResponse,Distributions,Response,FALSE,src/services/src/Demoulas.ProfitSharing.Common/Contracts/Response/Distributions/DistributionsOnHoldResponse.cs
DistributionStatusResponse.cs,DistributionStatusResponse,Lookup,Response,TRUE,src/services/src/Demoulas.ProfitSharing.Common/Contracts/Response/Lookup/DistributionStatusResponse.cs
